code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00347,20.0,30,1,2,0.35
HK.00348,24.0,77,0,0,0.6
HK.00351,54.0,29,1,9,0.5
HK.00352,62.0,58,0,0,0.15
HK.00353,84.0,84,0,0,0.15
HK.00354,61.0,77,0,0,0.1
HK.00355,49.0,46,1,6,0.55
HK.00357,16.0,18,1,7,0.7
HK.00358,71.0,28,1,11,0.7
HK.00360,68.0,96,0,0,0.3
HK.00361,56.0,85,0,0,0.6
HK.00362,62.0,58,0,0,0.15
HK.00363,61.0,48,1,6,0.35
HK.00365,57.0,11,0,0,0.9
HK.00366,55.0,65,0,0,0.45
HK.00367,21.0,23,1,5,0.65
HK.00368,98.0,82,1,8,0.45
HK.00369,55.0,26,1,10,0.65
HK.00370,3.0,40,0,0,0.45
HK.00371,11.0,7,1,47,1.0
HK.00372,22.0,27,0,0,0.55
HK.00373,36.0,31,1,11,0.65
HK.00374,65.0,70,0,0,0.1
HK.00375,58.0,53,0,0,0.5
HK.00376,35.0,84,0,0,0.0
HK.00377,55.0,1,1,4,0.2
HK.00379,94.0,98,0,0,0.5
HK.00380,55.0,65,0,0,0.2
HK.00381,2.0,4,1,8,0.85
HK.00382,5.0,43,1,5,0.55
HK.00383,71.0,89,0,0,0.5
HK.00384,34.0,40,0,0,0.5
HK.00385,24.0,45,0,0,0.45
HK.00386,73.0,66,0,0,0.25
HK.00387,55.0,20,1,6,0.95
HK.00388,65.0,47,1,1,0.55
HK.00389,68.0,82,1,15,0.75
HK.00390,48.0,37,0,0,0.5
HK.00391,97.0,97,0,0,0.05
HK.00392,64.0,61,0,0,0.25
HK.00393,66.0,54,0,0,0.15
HK.00396,92.0,5,1,16,0.8
HK.00397,63.0,79,0,0,0.35
HK.00398,67.0,65,0,0,0.0
HK.00399,11.0,58,0,0,0.15
HK.00400,89.0,88,0,0,0.0
HK.00401,64.0,8,1,19,0.95
HK.00403,80.0,81,0,0,0.15
HK.00406,39.0,69,0,0,0.9
HK.00408,89.0,82,0,0,0.0
HK.00410,11.0,14,1,11,0.95
HK.00411,66.0,67,0,0,0.35
HK.00412,6.0,39,1,2,0.3
HK.00413,23.0,45,0,0,0.45
HK.00417,39.0,73,0,0,0.4
HK.00418,66.0,86,0,0,0.35
HK.00419,78.0,28,1,22,1.0
HK.00420,66.0,48,1,11,0.95
HK.00422,46.0,63,0,0,0.4
HK.00423,40.0,36,1,6,0.65
HK.00425,25.0,13,1,22,1.0
HK.00426,89.0,89,0,0,0.15
HK.00430,46.0,65,0,0,0.2
HK.00432,50.0,24,1,8,0.95
HK.00433,4.0,2,1,20,1.0
HK.00434,78.0,92,0,0,0.0
HK.00436,64.0,78,0,0,0.3
HK.00438,9.0,26,1,18,0.9
HK.00439,10.0,12,1,19,0.95
HK.00440,86.0,66,0,0,0.25
HK.00442,33.0,70,0,0,0.2
HK.00444,62.0,58,0,0,0.15
HK.00450,40.0,31,0,0,0.9
HK.00451,5.0,11,1,54,1.0
HK.00455,81.0,88,0,0,0.45
