code,rs_percentile_12m,rs_percentile_3m
HK.00837,40.0,38
HK.00838,29.0,23
HK.00839,29.0,51
HK.00840,34.0,64
HK.00841,66.0,75
HK.00842,27.0,25
HK.00844,47.0,67
HK.00845,65.0,57
HK.00846,26.0,38
HK.00848,35.0,25
HK.00851,32.0,44
HK.00852,94.0,98
HK.00853,16.0,28
HK.00854,45.0,37
HK.00855,40.0,35
HK.00856,72.0,33
HK.00857,79.0,68
HK.00858,61.0,67
HK.00859,84.0,86
HK.00860,71.0,94
HK.00861,60.0,91
HK.00862,94.0,44
HK.00863,22.0,16
HK.00864,54.0,10
HK.00865,84.0,47
HK.00866,38.0,88
HK.00867,55.0,45
HK.00868,50.0,32
HK.00869,58.0,71
HK.00871,8.0,4
HK.00873,8.0,7
HK.00874,32.0,21
HK.00875,4.0,2
HK.00876,23.0,40
HK.00878,56.0,37
HK.00880,14.0,30
HK.00881,2.0,2
HK.00882,48.0,59
HK.00883,78.0,74
HK.00884,2.0,10
HK.00887,80.0,83
HK.00888,6.0,23
HK.00889,63.0,12
HK.00893,34.0,25
HK.00894,96.0,92
HK.00895,19.0,31
HK.00896,71.0,63
HK.00897,63.0,82
HK.00898,47.0,41
HK.00899,57.0,70
HK.00900,83.0,69
HK.00901,,64
HK.00902,58.0,42
HK.00907,45.0,57
HK.00909,4.0,5
HK.00910,84.0,93
HK.00911,69.0,1
HK.00912,67.0,61
HK.00914,31.0,35
HK.00915,72.0,96
HK.00916,31.0,41
HK.00917,3.0,38
HK.00918,96.0,53
HK.00919,48.0,46
HK.00921,58.0,44
HK.00922,36.0,52
HK.00923,41.0,34
HK.00924,68.0,81
HK.00926,56.0,49
HK.00927,26.0,32
HK.00928,93.0,97
HK.00929,37.0,19
HK.00931,33.0,70
HK.00932,56.0,76
HK.00933,10.0,36
HK.00934,64.0,70
HK.00936,88.0,52
HK.00938,40.0,43
HK.00939,84.0,81
HK.00941,68.0,63
HK.00943,56.0,88
HK.00945,84.0,65
HK.00947,74.0,84
HK.00948,82.0,90
HK.00950,34.0,54
HK.00951,30.0,12
HK.00952,26.0,56
HK.00953,20.0,20
HK.00954,17.0,10
HK.00956,49.0,75
HK.00959,65.0,57
HK.00960,11.0,12
HK.00966,80.0,72
HK.00968,17.0,25
HK.00969,68.0,91
HK.00970,75.0,97
HK.00974,42.0,64
HK.00975,68.0,85
HK.00976,65.0,57
HK.00978,47.0,60
HK.00979,89.0,96
HK.00980,60.0,88
HK.00981,53.0,17
HK.00983,88.0,95
HK.00984,39.0,87
HK.00986,4.0,11
HK.00987,91.0,81
HK.00989,25.0,28
HK.00990,26.0,62
HK.00991,77.0,80
HK.00992,96.0,93
HK.00993,25.0,32
HK.00994,62.0,78
HK.00995,82.0,73
HK.00997,33.0,70
HK.00998,82.0,86
HK.00999,72.0,86
HK.01000,9.0,2
HK.01001,49.0,34
HK.01002,67.0,71
HK.01003,28.0,38
HK.01004,16.0,93
HK.01005,56.0,41
HK.01007,65.0,57
HK.01008,37.0,29
HK.01009,82.0,69
HK.01010,55.0,98
HK.01011,6.0,63
HK.01013,81.0,39
HK.01020,88.0,90
HK.01021,,49
HK.01022,11.0,9
HK.01023,39.0,22
HK.01024,5.0,3
HK.01025,35.0,69
HK.01026,85.0,97
HK.01027,80.0,5
HK.01028,92.0,20
HK.01029,24.0,29
HK.01030,23.0,53
HK.01033,56.0,81
HK.01036,81.0,75
HK.01037,89.0,87
HK.01038,81.0,70
HK.01039,79.0,85
HK.01044,35.0,19
HK.01045,46.0,42
HK.01046,97.0,98
HK.01047,70.0,47
HK.01049,26.0,12
HK.01050,48.0,34
HK.01051,28.0,35
HK.01052,41.0,40
HK.01053,26.0,39
HK.01055,17.0,18
HK.01057,37.0,53
HK.01058,48.0,31
HK.01059,62.0,47
HK.01060,19.0,44
HK.01061,9.0,11
HK.01063,7.0,32
HK.01064,80.0,94
HK.01065,57.0,60
HK.01066,24.0,28
HK.01068,19.0,44
HK.01069,16.0,12
HK.01070,90.0,85
HK.01071,57.0,66
HK.01072,35.0,12
HK.01073,43.0,50
HK.01075,13.0,38
HK.01079,13.0,7
HK.01080,12.0,48
HK.01081,,21
HK.01082,18.0,28
HK.01083,42.0,30
HK.01084,64.0,36
HK.01085,69.0,46
HK.01086,80.0,92
HK.01087,94.0,94
HK.01088,78.0,72
HK.01090,30.0,49
HK.01091,60.0,84
HK.01093,79.0,77
HK.01094,56.0,77
HK.01097,56.0,54
HK.01098,36.0,66
HK.01099,39.0,23
HK.01100,57.0,35
HK.01101,65.0,57
HK.01102,94.0,78
HK.01104,85.0,95
HK.01105,55.0,80
HK.01107,35.0,57
HK.01108,8.0,26
HK.01109,52.0,14
HK.01110,27.0,8
HK.01111,62.0,76
HK.01112,90.0,93
HK.01113,78.0,62
HK.01114,17.0,48
HK.01115,51.0,73
HK.01116,38.0,40
